sn_sample,lysate_sample,log10_enrichment_factor
24L006479,24L006460,0.14636976236680743
24L006479,24L006460,0.14497276185388933
24L006479,24L006460,-0.7795578662233157
24L006479,24L006460,-0.17158876589745478
24L006479,24L006460,-0.029105004191337037
24L006479,24L006460,-1.2642899620197763
24L006479,24L006460,-0.1256996467074104
24L006479,24L006460,0.2755951227542941
24L006479,24L006460,-0.3960839129821849
24L006479,24L006460,-0.002628092023805
24L006479,24L006460,-0.0997218706355184
24L006479,24L006460,-0.11942398786784364
24L006479,24L006460,0.15201055156104398
24L006479,24L006460,0.3174000164161204
24L006479,24L006460,-0.28183398812127575
24L006479,24L006460,-1.296623171678299
24L006479,24L006460,0.1405586860612048
24L006479,24L006460,0.24124769179096053
24L006479,24L006460,0.059557391024281946
24L006479,24L006460,-0.5472697359611387
24L006479,24L006460,0.9028690127578101
24L006479,24L006460,-1.0120467021936421
24L006479,24L006460,-0.027859964401920515
24L006479,24L006460,0.07774303966599866
24L006479,24L006460,-0.8722020521245204
24L006479,24L006460,-0.6926773596814572
24L006479,24L006460,-0.05354428531472492
24L006479,24L006460,0.19149724344139019
24L006479,24L006460,-0.7893129290331611
24L006479,24L006460,-0.15996544875923666
24L006479,24L006460,-0.21275738894188873
24L006479,24L006460,-0.48817560741239907
24L006479,24L006460,-0.40708525264652023
24L006479,24L006460,-0.5838064015812825
24L006479,24L006460,-0.5742688478763537
24L006479,24L006460,-0.7337329350529962
24L006479,24L006460,-0.5932281927762497
24L006479,24L006460,-0.14168166258580764
24L006479,24L006460,-0.6917154144110289
24L006479,24L006460,-0.31135382760936176
24L006479,24L006460,-0.09157808661587069
24L006479,24L006460,0.1172217492391712
24L006479,24L006460,0.02191833834128764
24L006479,24L006460,-0.6811630817910113
24L006479,24L006460,-0.28426554717185765
24L006479,24L006460,-0.6575508385807141
24L006479,24L006460,-0.16437368451026793
24L006479,24L006460,-0.23545029132297293
24L006479,24L006460,-0.13810048639692507
24L006479,24L006460,-1.0361797244254773
24L006479,24L006460,-0.8936380143366657
24L006479,24L006460,-0.8809759764320255
24L006479,24L006460,-0.11271557282566795
24L006479,24L006460,0.3274352391566873
24L006479,24L006460,-1.6342764069122766
24L006479,24L006460,0.10053249755344643
