pathway,fisher_pval,stouffer_pval,min_pval,n_timepoints,n_significant,mean_NES,fisher_padj
GARY_CD5_TARGETS_UP,0.7125284180729361,0.6941600646766202,0.0713536201469045,10,0,-0.3769173252799319,0.8826593169508712
IVANOVA_HEMATOPOIESIS_EARLY_PROGENITOR,0.714963499754987,0.48383278748034875,0.17743830787309,10,0,0.08377455095050561,0.8835869666783329
GABRIELY_MIR21_TARGETS,0.7194903453161464,0.7981601300757726,0.108307045215563,10,0,-0.07792136555834508,0.8870892728133194
JINESH_BLEBBISHIELD_VS_LIVE_CONTROL_UP,0.7216334438741496,0.5876131985555959,0.0833333333333333,10,0,0.017592835249162553,0.8876430154696113
OSMAN_BLADDER_CANCER_DN,0.7245517653731971,0.9235306920785894,0.0854792550052852,10,0,-0.15642163776198942,0.8890561117808601
BLUM_RESPONSE_TO_SALIRASIB_DN,0.7270953075366079,0.7531814429488507,0.085037674919268,10,0,-0.04972975351787782,0.8890561117808601
MITSIADES_RESPONSE_TO_APLIDIN_UP,0.7284079404966245,0.7756837444577849,0.174489795918367,10,0,-0.1603059255244268,0.8890561117808601
REN_ALVEOLAR_RHABDOMYOSARCOMA_DN,0.7295689466904004,1.0,0.0944625407166124,10,0,-0.33571204728779264,0.8890561117808601
RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_UP,0.7314020896430242,0.5910005226123263,0.104753643905107,10,0,-0.11144727420218918,0.8892220300996397
DARWICHE_PAPILLOMA_RISK_LOW_UP,0.7357693862525432,0.6774361518347687,0.0586202038266255,10,0,-0.19657094630731237,0.8924610148063254
MULLIGHAN_MLL_SIGNATURE_2_UP,0.7392376597372591,0.5892647838283346,0.152310924369748,10,0,0.1309538071364339,0.8945970755249971
WEST_ADRENOCORTICAL_TUMOR_UP,0.7434461456632896,0.9052939857730393,0.073269136024059,10,0,0.013544199332305207,0.897056649717608
KRIGE_RESPONSE_TO_TOSEDOSTAT_24HR_UP,0.746655832603493,0.9277781804963288,0.072289156626506,10,0,-0.19243035612418438,0.897056649717608
HORIUCHI_WTAP_TARGETS_UP,0.7469905076105015,0.8271297609171365,0.113879003558719,10,0,0.2507055701189599,0.897056649717608
REACTOME_SARS_COV_2_HOST_INTERACTIONS,0.7486268465311536,0.9596294392158536,0.0819672131147541,10,0,0.04303361207150367,0.897056649717608
DAVICIONI_TARGETS_OF_PAX_FOXO1_FUSIONS_UP,0.7498297949929624,0.6767728573116194,0.107586206896552,10,0,0.26721591240410925,0.897056649717608
FEVR_CTNNB1_TARGETS_UP,0.7535633272193589,0.7900065658928697,0.131386861313869,10,0,-0.14212387614602856,0.8977617863110394
