panel,stem,n_replicates,bin_center,mean_density,se_density,ci95_lower,ci95_upper
a,suppl6a_ipsc_export_ratio,3,0.11263078782499059,0.4646461808728666,0.04266104137233321,0.3810305397830935,0.5482618219626396
a,suppl6a_ipsc_export_ratio,3,0.16934131188645773,0.4830738734476879,0.025425395282218283,0.43324009869454005,0.5329076482008357
a,suppl6a_ipsc_export_ratio,3,0.22605183594792466,0.41409108147605567,0.0162188053163189,0.38230222305607064,0.4458799398960407
a,suppl6a_ipsc_export_ratio,3,0.2827623600093916,0.4628112221977177,0.04232155793951287,0.3798609686362725,0.5457614757591629
a,suppl6a_ipsc_export_ratio,3,0.33947288407085874,0.39659009592603994,0.053453254747522404,0.29182171662089607,0.5013584752311838
a,suppl6a_ipsc_export_ratio,3,0.3961834081323259,0.4127331401165584,0.06625202121178422,0.2828791785414613,0.5425871016916555
a,suppl6a_ipsc_export_ratio,3,0.4528939321937928,0.3563460875697128,0.043075659675213325,0.2719177946062947,0.4407743805331309
a,suppl6a_ipsc_export_ratio,3,0.5096044562552597,0.36262453604809036,0.003908592222183831,0.35496369529261007,0.37028537680357065
a,suppl6a_ipsc_export_ratio,3,0.5663149803167267,0.32281912342661273,0.04402988464416548,0.23652054952404838,0.4091176973291771
a,suppl6a_ipsc_export_ratio,3,0.6230255043781938,0.3471611593002124,0.012106207198641115,0.3234329931908758,0.370889325409549
a,suppl6a_ipsc_export_ratio,3,0.679736028439661,0.260200364462915,0.03963519966134873,0.1825153731266715,0.3378853557991585
a,suppl6a_ipsc_export_ratio,3,0.7364465525011279,0.24794237524976973,0.02547515197305013,0.19801107738259147,0.297873673116948
a,suppl6a_ipsc_export_ratio,3,0.7931570765625948,0.1994785672295495,0.011788300231637386,0.17637349877554023,0.2225836356835588
a,suppl6a_ipsc_export_ratio,3,0.849867600624062,0.17204543592506952,0.01239589432466265,0.14774948304873073,0.1963413888014083
a,suppl6a_ipsc_export_ratio,3,0.9065781246855291,0.1431743257186866,0.026497813367351335,0.09123861151867799,0.19511003991869522
a,suppl6a_ipsc_export_ratio,3,0.963288648746996,0.13228676536511874,0.013305703602860782,0.10620758630351161,0.15836594442672589
a,suppl6a_ipsc_export_ratio,3,1.019999172808463,0.14345701338807984,0.05235195780773402,0.04084717608492115,0.24606685069123851
a,suppl6a_ipsc_export_ratio,3,1.0767096968699301,0.0756295126489594,0.021593361952539445,0.03330652322198208,0.11795250207593672
a,suppl6a_ipsc_export_ratio,3,1.1334202209313973,0.09157822719321325,0.030684315144321794,0.031436969510342534,0.15171948487608397
a,suppl6a_ipsc_export_ratio,3,1.1901307449928642,0.054604382920366935,0.013041094501481014,0.02904383769746415,0.08016492814326973
a,suppl6a_ipsc_export_ratio,3,1.2468412690543311,0.0451700624623591,0.00874348071820954,0.0280328402546684,0.0623072846700498
a,suppl6a_ipsc_export_ratio,3,1.3035517931157983,0.05482229404100575,0.01469529820744683,0.026019509554409962,0.08362507852760154
a,suppl6a_ipsc_export_ratio,3,1.3602623171772654,0.03381519879964177,0.01907399576503147,-0.003569832899819908,0.07120023049910344
a,suppl6a_ipsc_export_ratio,3,1.4169728412387324,0.05714259051253684,0.0032220272256657614,0.050827417150231945,0.06345776387484173
a,suppl6a_ipsc_export_ratio,3,1.4736833653001993,0.014578285684675903,0.004245516182694832,0.006257073966594032,0.022899497402757773
a,suppl6a_ipsc_export_ratio,3,1.5303938893616662,0.028403806897234846,0.01248155008170418,0.003939968737094651,0.05286764505737504
a,suppl6a_ipsc_export_ratio,3,1.5871044134231334,0.026083510425703976,0.02297638087545698,-0.018950196090191704,0.07111721694159966
a,suppl6a_ipsc_export_ratio,3,1.6438149374846005,0.01992212754475455,0.015900418411401086,-0.01124269254159158,0.05108694763110068
a,suppl6a_ipsc_export_ratio,3,1.7005254615460674,0.008349352761397989,0.0011288315469466282,0.006136842929382598,0.01056186259341338
a,suppl6a_ipsc_export_ratio,3,1.7572359856075344,0.002120419838120074,0.0021204198381200743,-0.002035603044595272,0.006276442720835419
b,suppl6b_cm_export_ratio,3,-2.1557901746336907,0.0,0.0,0.0,0.0
b,suppl6b_cm_export_ratio,3,-2.099079650572224,0.017972592008048117,0.009419273162485229,-0.0004891833904229308,0.03643436740651916
